 s/od:	     0	     1	     2	     3	     4	     5	     6	     7	     8	     9	    10	
    1:	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	
    2:	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	
    3:	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	
    4:	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	
    5:	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	
    6:	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	
    7:	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	
    8:	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	
    9:	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	 99.99	
   10:	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	 99.99	 99.98	
   11:	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	 99.99	 99.97	 99.93	
   12:	100.00	100.00	100.00	100.00	100.00	100.00	100.00	 99.99	 99.97	 99.93	 99.85	
   13:	100.00	100.00	100.00	100.00	100.00	 99.99	 99.99	 99.97	 99.93	 99.85	 99.70	
   14:	100.00	100.00	100.00	100.00	 99.99	 99.98	 99.97	 99.93	 99.86	 99.73	 99.49	
   15:	100.00	100.00	100.00	 99.99	 99.98	 99.96	 99.93	 99.86	 99.74	 99.55	 99.22	
   16:	100.00	100.00	 99.99	 99.98	 99.96	 99.93	 99.87	 99.76	 99.59	 99.31	 98.88	
   17:	 99.99	 99.99	 99.98	 99.96	 99.93	 99.87	 99.77	 99.62	 99.38	 99.01	 98.48	
   18:	 99.99	 99.98	 99.96	 99.93	 99.87	 99.78	 99.65	 99.44	 99.12	 98.67	 98.03	
   19:	 99.97	 99.96	 99.92	 99.87	 99.79	 99.67	 99.48	 99.21	 98.82	 98.28	 97.53	
   20:	 99.95	 99.92	 99.88	 99.80	 99.69	 99.52	 99.28	 98.94	 98.47	 97.84	 97.00	
   21:	 99.92	 99.88	 99.81	 99.71	 99.56	 99.34	 99.04	 98.64	 98.09	 97.37	 96.44	
   22:	 99.88	 99.81	 99.72	 99.58	 99.39	 99.13	 98.77	 98.29	 97.67	 96.86	 95.85	
   23:	 99.82	 99.73	 99.61	 99.44	 99.20	 98.88	 98.46	 97.92	 97.22	 96.33	 95.24	
   24:	 99.74	 99.63	 99.47	 99.26	 98.98	 98.61	 98.12	 97.51	 96.74	 95.78	 94.60	
   25:	 99.65	 99.50	 99.31	 99.06	 98.73	 98.30	 97.75	 97.07	 96.23	 95.20	 93.96	
   26:	 99.53	 99.36	 99.13	 98.83	 98.45	 97.96	 97.36	 96.61	 95.70	 94.60	 93.30	
   27:	 99.40	 99.19	 98.92	 98.57	 98.14	 97.60	 96.94	 96.13	 95.15	 93.99	 92.63	
   28:	 99.24	 98.99	 98.68	 98.29	 97.81	 97.21	 96.49	 95.62	 94.59	 93.37	 91.95	
   29:	 99.06	 98.78	 98.43	 97.99	 97.45	 96.81	 96.03	 95.10	 94.01	 92.73	 91.26	
   30:	 98.86	 98.54	 98.15	 97.66	 97.08	 96.37	 95.54	 94.56	 93.41	 92.08	 90.56	
   31:	 98.64	 98.28	 97.84	 97.31	 96.68	 95.92	 95.04	 94.00	 92.80	 91.42	 89.86	
   32:	 98.40	 98.00	 97.52	 96.94	 96.26	 95.46	 94.52	 93.43	 92.18	 90.76	 89.15	
   33:	 98.14	 97.70	 97.17	 96.55	 95.82	 94.97	 93.98	 92.85	 91.55	 90.09	 88.43	
   34:	 97.86	 97.38	 96.81	 96.14	 95.37	 94.47	 93.44	 92.25	 90.92	 89.41	 87.72	
   35:	 97.56	 97.04	 96.43	 95.72	 94.90	 93.95	 92.88	 91.65	 90.27	 88.72	 87.00	
   36:	 97.24	 96.68	 96.03	 95.28	 94.41	 93.43	 92.30	 91.04	 89.62	 88.04	 86.28	
   37:	 96.91	 96.31	 95.62	 94.82	 93.92	 92.89	 91.72	 90.42	 88.96	 87.34	 85.56	
   38:	 96.56	 95.92	 95.19	 94.35	 93.41	 92.34	 91.13	 89.79	 88.30	 86.65	 84.84	
   39:	 96.19	 95.52	 94.74	 93.87	 92.88	 91.77	 90.54	 89.16	 87.63	 85.96	 84.12	
   40:	 95.81	 95.10	 94.29	 93.38	 92.35	 91.21	 89.93	 88.52	 86.96	 85.26	 83.39	
   41:	 95.41	 94.66	 93.82	 92.87	 91.81	 90.63	 89.32	 87.88	 86.29	 84.56	 82.67	
   42:	 95.00	 94.22	 93.34	 92.36	 91.26	 90.04	 88.70	 87.23	 85.62	 83.86	 81.96	
   43:	 94.58	 93.76	 92.85	 91.83	 90.70	 89.45	 88.08	 86.58	 84.94	 83.16	 81.24	
   44:	 94.15	 93.30	 92.35	 91.30	 90.14	 88.86	 87.46	 85.93	 84.27	 82.47	 80.53	
   45:	 93.70	 92.82	 91.84	 90.76	 89.56	 88.26	 86.83	 85.28	 83.59	 81.77	 79.81	
   46:	 93.25	 92.33	 91.32	 90.21	 88.99	 87.65	 86.20	 84.62	 82.92	 81.08	 79.11	
   47:	 92.79	 91.84	 90.80	 89.65	 88.41	 87.04	 85.57	 83.97	 82.24	 80.39	 78.40	
   48:	 92.31	 91.34	 90.27	 89.10	 87.82	 86.43	 84.93	 83.31	 81.57	 79.70	 77.70	
   49:	 91.83	 90.83	 89.73	 88.53	 87.23	 85.82	 84.30	 82.66	 80.90	 79.01	 77.00	
   50:	 91.34	 90.31	 89.19	 87.96	 86.64	 85.20	 83.66	 82.00	 80.23	 78.33	 76.31	
   51:	 90.85	 89.79	 88.64	 87.39	 86.04	 84.59	 83.02	 81.35	 79.56	 77.65	 75.62	
   52:	 90.34	 89.26	 88.09	 86.81	 85.44	 83.97	 82.39	 80.70	 78.89	 76.97	 74.94	
   53:	 89.84	 88.73	 87.53	 86.24	 84.84	 83.35	 81.75	 80.05	 78.23	 76.30	 74.26	
   54:	 89.32	 88.19	 86.97	 85.66	 84.24	 82.73	 81.12	 79.40	 77.57	 75.63	 73.59	
   55:	 88.80	 87.65	 86.41	 85.07	 83.64	 82.12	 80.49	 78.75	 76.92	 74.97	 72.92	
   56:	 88.28	 87.11	 85.84	 84.49	 83.04	 81.50	 79.86	 78.11	 76.27	 74.31	 72.26	
   57:	 87.76	 86.56	 85.28	 83.91	 82.44	 80.88	 79.23	 77.47	 75.62	 73.66	 71.60	
   58:	 87.23	 86.01	 84.71	 83.32	 81.84	 80.27	 78.60	 76.84	 74.98	 73.01	 70.95	
   59:	 86.70	 85.46	 84.14	 82.74	 81.24	 79.66	 77.98	 76.21	 74.34	 72.37	 70.31	
   60:	 86.16	 84.91	 83.57	 82.15	 80.65	 79.05	 77.36	 75.58	 73.70	 71.73	 69.67	
   61:	 85.63	 84.36	 83.01	 81.57	 80.05	 78.44	 76.74	 74.96	 73.08	 71.10	 69.04	
   62:	 85.09	 83.80	 82.44	 80.99	 79.46	 77.84	 76.13	 74.34	 72.45	 70.48	 68.41	
   63:	 84.55	 83.25	 81.87	 80.41	 78.86	 77.24	 75.52	 73.72	 71.83	 69.86	 67.79	
   64:	 84.01	 82.70	 81.30	 79.83	 78.27	 76.64	 74.92	 73.11	 71.22	 69.24	 67.18	
   65:	 83.47	 82.14	 80.74	 79.25	 77.69	 76.04	 74.32	 72.51	 70.61	 68.64	 66.58	
   66:	 82.93	 81.59	 80.17	 78.68	 77.10	 75.45	 73.72	 71.91	 70.01	 68.04	 65.98	
   67:	 82.39	 81.04	 79.61	 78.10	 76.52	 74.86	 73.13	 71.31	 69.42	 67.44	 65.39	
   68:	 81.85	 80.49	 79.05	 77.53	 75.95	 74.28	 72.54	 70.72	 68.83	 66.85	 64.80	
   69:	 81.31	 79.94	 78.49	 76.97	 75.37	 73.70	 71.96	 70.14	 68.24	 66.27	 64.22	
   70:	 80.78	 79.39	 77.93	 76.40	 74.80	 73.13	 71.38	 69.56	 67.66	 65.69	 63.65	
   71:	 80.24	 78.84	 77.38	 75.84	 74.24	 72.56	 70.81	 68.98	 67.09	 65.12	 63.08	
   72:	 79.71	 78.30	 76.83	 75.28	 73.67	 71.99	 70.24	 68.42	 66.52	 64.56	 62.53	
   73:	 79.17	 77.76	 76.28	 74.73	 73.11	 71.43	 69.68	 67.85	 65.96	 64.00	 61.97	
   74:	 78.64	 77.22	 75.73	 74.18	 72.56	 70.87	 69.12	 67.30	 65.41	 63.45	 61.43	
   75:	 78.11	 76.68	 75.19	 73.63	 72.01	 70.32	 68.57	 66.75	 64.86	 62.91	 60.89	
   76:	 77.59	 76.15	 74.65	 73.09	 71.46	 69.77	 68.02	 66.20	 64.32	 62.37	 60.36	
   77:	 77.06	 75.62	 74.12	 72.55	 70.92	 69.23	 67.48	 65.66	 63.78	 61.84	 59.83	
   78:	 76.54	 75.09	 73.59	 72.02	 70.39	 68.70	 66.94	 65.13	 63.25	 61.31	 59.32	
   79:	 76.02	 74.57	 73.06	 71.49	 69.86	 68.16	 66.41	 64.60	 62.73	 60.80	 58.80	
   80:	 75.51	 74.05	 72.54	 70.96	 69.33	 67.64	 65.89	 64.08	 62.21	 60.28	 58.30	
   81:	 74.99	 73.53	 72.02	 70.44	 68.81	 67.12	 65.37	 63.56	 61.70	 59.78	 57.80	
   82:	 74.49	 73.02	 71.50	 69.92	 68.29	 66.60	 64.85	 63.05	 61.19	 59.28	 57.31	
